name,location,university_type,accreditation,ranking_score,actual_location
Osaka Metropolitan University,Japan,Private,NIAD-QE,8.9,"Osaka, Japan"
Sapporo Institute of Technology,Japan,Public,JABEE,7.5,"Sapporo, Japan"
Tokyo Women's University,Japan,Public,MEXT Approved,7.6,"Tokyo, Japan"
Sendai Women's University,Japan,Public,JABEE,8.8,"Sendai, Japan"
Kobe Metropolitan University,Japan,Private,JUAA,6.9,"Kobe, Japan"
Hiroshima Gakuin University,Japan,Public,JABEE,8.2,"Hiroshima, Japan"
Hiroshima International University,Japan,Public,NIAD-QE,9.3,"Hiroshima, Japan"
Saitama Imperial University,Japan,Public,NIAD-QE,6.9,"Saitama, Japan"
Chiba Institute of Technology,Japan,Private,JUAA,8.7,"Chiba, Japan"
Kawasaki Imperial University,Japan,Private,JABEE,7.7,"Kawasaki, Japan"
Saitama Institute of Technology,Japan,Private,MEXT Approved,7.1,"Saitama, Japan"
Nagoya Gakuin University,Japan,Public,JABEE,7.8,"Nagoya, Japan"
Fukuoka International University,Japan,Public,JUAA,8.1,"Fukuoka, Japan"
University of Sendai,Japan,Private,NIAD-QE,8.7,"Sendai, Japan"
Nagoya Metropolitan University,Japan,Public,AACSB,9.3,"Nagoya, Japan"
Hiroshima Women's University,Japan,Private,JUAA,8.5,"Hiroshima, Japan"
University of Kawasaki,Japan,Private,NIAD-QE,6.7,"Kawasaki, Japan"
University of Hiroshima,Japan,Public,AACSB,8.4,"Hiroshima, Japan"
Saitama Gakuin University,Japan,Public,AACSB,7.0,"Saitama, Japan"
University of Kyoto,Japan,Public,NIAD-QE,9.6,"Kyoto, Japan"
Yokohama International University,Japan,Public,AACSB,8.0,"Yokohama, Japan"
Kitakyushu International University,Japan,Private,JABEE,7.1,"Kitakyushu, Japan"
Sendai Metropolitan University,Japan,Private,JABEE,7.8,"Sendai, Japan"
Kyoto Institute of Technology,Japan,Private,JABEE,9.6,"Kyoto, Japan"
Tokyo Gakuin University,Japan,Public,MEXT Approved,9.2,"Tokyo, Japan"
Sapporo International University,Japan,Public,AACSB,7.8,"Sapporo, Japan"
Fukuoka Gakuin University,Japan,Public,JABEE,7.8,"Fukuoka, Japan"
Kobe Imperial University,Japan,Private,JABEE,6.6,"Kobe, Japan"
Saitama Women's University,Japan,Public,MEXT Approved,9.2,"Saitama, Japan"
Hiroshima Imperial University,Japan,Public,JABEE,8.7,"Hiroshima, Japan"
Kobe International University,Japan,Private,MEXT Approved,8.2,"Kobe, Japan"
Chiba Women's University,Japan,Private,JUAA,7.7,"Chiba, Japan"
Osaka Institute of Technology,Japan,Public,NIAD-QE,8.5,"Osaka, Japan"
Yokohama Gakuin University,Japan,Public,MEXT Approved,9.7,"Yokohama, Japan"
Kawasaki Metropolitan University,Japan,Private,JUAA,8.5,"Kawasaki, Japan"
Kyoto Gakuin University,Japan,Public,AACSB,9.2,"Kyoto, Japan"
Nagoya Women's University,Japan,Public,JUAA,8.3,"Nagoya, Japan"
Sendai International University,Japan,Private,MEXT Approved,9.6,"Sendai, Japan"
Kyoto Imperial University,Japan,Public,JABEE,7.5,"Kyoto, Japan"
Nagoya International University,Japan,Public,NIAD-QE,8.6,"Nagoya, Japan"
University of Chiba,Japan,Public,NIAD-QE,9.0,"Chiba, Japan"
University of Kobe,Japan,Public,AACSB,6.7,"Kobe, Japan"
Chiba International University,Japan,Public,JABEE,7.5,"Chiba, Japan"
University of Sapporo,Japan,Private,MEXT Approved,8.3,"Sapporo, Japan"
Osaka Gakuin University,Japan,Public,JUAA,8.1,"Osaka, Japan"
University of Kitakyushu,Japan,Public,AACSB,8.1,"Kitakyushu, Japan"
Saitama International University,Japan,Public,MEXT Approved,6.7,"Saitama, Japan"
Yokohama Institute of Technology,Japan,Public,NIAD-QE,9.5,"Yokohama, Japan"
Yokohama Women's University,Japan,Public,AACSB,6.7,"Yokohama, Japan"
Hiroshima Metropolitan University,Japan,Public,NIAD-QE,6.8,"Hiroshima, Japan"
Kitakyushu Women's University,Japan,Public,NIAD-QE,7.3,"Kitakyushu, Japan"
University of Fukuoka,Japan,Public,MEXT Approved,7.2,"Fukuoka, Japan"
Sendai Gakuin University,Japan,Public,NIAD-QE,6.9,"Sendai, Japan"
Tokyo Imperial University,Japan,Private,NIAD-QE,7.5,"Tokyo, Japan"
Kitakyushu Institute of Technology,Japan,Private,JUAA,7.8,"Kitakyushu, Japan"
Kitakyushu Imperial University,Japan,Public,AACSB,9.2,"Kitakyushu, Japan"
Kawasaki Women's University,Japan,Public,JABEE,9.2,"Kawasaki, Japan"
Kawasaki Gakuin University,Japan,Public,JABEE,7.2,"Kawasaki, Japan"
Fukuoka Imperial University,Japan,Private,NIAD-QE,7.2,"Fukuoka, Japan"
Bedok Global University,Singapore,Public,AACSB,9.0,"Singapore, Singapore"
Management University of Woodlands,Singapore,Public,CPE Approved,9.0,"Singapore, Singapore"
Technological University of Jurong,Singapore,Private,CPE Approved,9.6,"Singapore, Singapore"
Technological University of Bukit Panjang,Singapore,Public,AACSB,9.8,"Singapore, Singapore"
Management University of Serangoon,Singapore,Public,ABET,9.4,"Singapore, Singapore"
Queenstown Polytechnic University,Singapore,Private,AACSB,8.8,"Singapore, Singapore"
Technological University of Punggol,Singapore,Private,EQUIS,7.7,"Singapore, Singapore"
Technological University of Toa Payoh,Singapore,Private,Edutrust,8.5,"Singapore, Singapore"
Singapore Institute of Bukit Batok,Singapore,Private,AACSB,8.5,"Singapore, Singapore"
Management University of Punggol,Singapore,Private,ABET,9.0,"Singapore, Singapore"
Jurong Polytechnic University,Singapore,Private,ABET,8.3,"Singapore, Singapore"
Pasir Ris Polytechnic University,Singapore,Private,ABET,8.8,"Singapore, Singapore"
Singapore Institute of Toa Payoh,Singapore,Public,Edutrust,7.9,"Singapore, Singapore"
Serangoon Global University,Singapore,Public,ABET,9.2,"Singapore, Singapore"
Management University of Jurong,Singapore,Private,EQUIS,8.9,"Singapore, Singapore"
Technological University of Yishun,Singapore,Private,ABET,9.8,"Singapore, Singapore"
Singapore Institute of Clementi,Singapore,Private,ABET,7.9,"Singapore, Singapore"
Woodlands Polytechnic University,Singapore,Public,AACSB,8.5,"Singapore, Singapore"
Singapore Institute of Serangoon,Singapore,Public,CPE Approved,8.0,"Singapore, Singapore"
Sengkang Global University,Singapore,Public,ABET,8.3,"Singapore, Singapore"
National University of Novena,Singapore,Public,Edutrust,9.0,"Singapore, Singapore"
Management University of Queenstown,Singapore,Public,CPE Approved,8.0,"Singapore, Singapore"
Singapore Institute of Sengkang,Singapore,Private,ABET,8.5,"Singapore, Singapore"
Clementi Polytechnic University,Singapore,Private,EQUIS,7.9,"Singapore, Singapore"
Yishun Polytechnic University,Singapore,Public,EQUIS,8.6,"Singapore, Singapore"
National University of Clementi,Singapore,Private,AACSB,8.6,"Singapore, Singapore"
National University of Punggol,Singapore,Private,CPE Approved,8.6,"Singapore, Singapore"
Clementi Global University,Singapore,Public,Edutrust,8.6,"Singapore, Singapore"
Novena Global University,Singapore,Private,Edutrust,8.2,"Singapore, Singapore"
Toa Payoh Global University,Singapore,Private,AACSB,9.5,"Singapore, Singapore"
National University of Jurong,Singapore,Public,EQUIS,9.5,"Singapore, Singapore"
Technological University of Woodlands,Singapore,Public,Edutrust,8.4,"Singapore, Singapore"
Pasir Ris Global University,Singapore,Private,AACSB,8.0,"Singapore, Singapore"
Management University of Sengkang,Singapore,Public,Edutrust,8.1,"Singapore, Singapore"
National University of Serangoon,Singapore,Private,CPE Approved,7.8,"Singapore, Singapore"
National University of Choa Chu Kang,Singapore,Private,CPE Approved,7.6,"Singapore, Singapore"
Singapore Institute of Choa Chu Kang,Singapore,Private,CPE Approved,7.7,"Singapore, Singapore"
Bukit Panjang Global University,Singapore,Public,AACSB,7.8,"Singapore, Singapore"
Woodlands Global University,Singapore,Public,CPE Approved,9.1,"Singapore, Singapore"
Management University of Pasir Ris,Singapore,Public,EQUIS,8.2,"Singapore, Singapore"
Toa Payoh Polytechnic University,Singapore,Public,ABET,8.4,"Singapore, Singapore"
Technological University of Serangoon,Singapore,Private,CPE Approved,8.8,"Singapore, Singapore"
Novena Polytechnic University,Singapore,Public,Edutrust,8.0,"Singapore, Singapore"
National University of Bukit Panjang,Singapore,Public,ABET,9.6,"Singapore, Singapore"
Bukit Panjang Polytechnic University,Singapore,Private,Edutrust,8.4,"Singapore, Singapore"
Punggol Polytechnic University,Singapore,Public,Edutrust,9.2,"Singapore, Singapore"
Singapore Institute of Yishun,Singapore,Private,ABET,7.6,"Singapore, Singapore"
Management University of Bukit Panjang,Singapore,Private,ABET,8.6,"Singapore, Singapore"
Singapore Institute of Pasir Ris,Singapore,Public,EQUIS,7.7,"Singapore, Singapore"
Singapore Institute of Novena,Singapore,Public,Edutrust,8.4,"Singapore, Singapore"
Choa Chu Kang Global University,Singapore,Private,CPE Approved,7.6,"Singapore, Singapore"
Technological University of Novena,Singapore,Public,AACSB,8.4,"Singapore, Singapore"
Singapore Institute of Woodlands,Singapore,Private,ABET,7.7,"Singapore, Singapore"
Singapore Institute of Jurong,Singapore,Public,EQUIS,9.3,"Singapore, Singapore"
National University of Sengkang,Singapore,Private,ABET,8.0,"Singapore, Singapore"
Management University of Novena,Singapore,Public,ABET,9.0,"Singapore, Singapore"
Management University of Bukit Batok,Singapore,Private,EQUIS,7.8,"Singapore, Singapore"
Bukit Batok Polytechnic University,Singapore,Private,Edutrust,7.6,"Singapore, Singapore"
Bedok Polytechnic University,Singapore,Private,Edutrust,9.1,"Singapore, Singapore"
National University of Queenstown,Singapore,Private,EQUIS,7.5,"Singapore, Singapore"
Choa Chu Kang Polytechnic University,Singapore,Public,Edutrust,9.2,"Singapore, Singapore"
Singapore Institute of Bedok,Singapore,Private,ABET,9.8,"Singapore, Singapore"
Technological University of Queenstown,Singapore,Public,AACSB,7.8,"Singapore, Singapore"
Singapore Institute of Queenstown,Singapore,Public,Edutrust,8.6,"Singapore, Singapore"
Management University of Choa Chu Kang,Singapore,Private,CPE Approved,8.6,"Singapore, Singapore"
Jurong Global University,Singapore,Public,AACSB,7.6,"Singapore, Singapore"
Queenstown Global University,Singapore,Private,Edutrust,8.7,"Singapore, Singapore"
Technological University of Bedok,Singapore,Public,ABET,9.0,"Singapore, Singapore"
Management University of Clementi,Singapore,Private,EQUIS,7.5,"Singapore, Singapore"
Technological University of Choa Chu Kang,Singapore,Public,ABET,7.6,"Singapore, Singapore"
Management University of Yishun,Singapore,Private,CPE Approved,9.2,"Singapore, Singapore"
Technological University of Clementi,Singapore,Private,CPE Approved,8.5,"Singapore, Singapore"
National University of Bukit Batok,Singapore,Public,ABET,9.4,"Singapore, Singapore"
Management University of Toa Payoh,Singapore,Public,AACSB,9.6,"Singapore, Singapore"
Tampines Polytechnic University,Singapore,Private,AACSB,8.9,"Singapore, Singapore"
Punggol Global University,Singapore,Private,AACSB,8.3,"Singapore, Singapore"
National University of Tampines,Singapore,Private,EQUIS,9.1,"Singapore, Singapore"
Serangoon Polytechnic University,Singapore,Private,AACSB,8.5,"Singapore, Singapore"
Singapore Institute of Bukit Panjang,Singapore,Private,CPE Approved,9.6,"Singapore, Singapore"
Tampines Global University,Singapore,Private,CPE Approved,9.2,"Singapore, Singapore"
National University of Pasir Ris,Singapore,Private,EQUIS,7.9,"Singapore, Singapore"
Technological University of Tampines,Singapore,Public,AACSB,7.6,"Singapore, Singapore"
Sengkang Polytechnic University,Singapore,Private,AACSB,8.4,"Singapore, Singapore"
National University of Yishun,Singapore,Public,EQUIS,8.7,"Singapore, Singapore"
National University of Woodlands,Singapore,Public,AACSB,8.3,"Singapore, Singapore"
Bukit Batok Global University,Singapore,Private,Edutrust,7.5,"Singapore, Singapore"
Yishun Global University,Singapore,Public,CPE Approved,8.2,"Singapore, Singapore"
Singapore Institute of Tampines,Singapore,Public,CPE Approved,8.5,"Singapore, Singapore"
Technological University of Pasir Ris,Singapore,Public,ABET,7.7,"Singapore, Singapore"
Technological University of Sengkang,Singapore,Private,AACSB,9.2,"Singapore, Singapore"
National University of Toa Payoh,Singapore,Private,CPE Approved,7.9,"Singapore, Singapore"
National University of Bedok,Singapore,Private,Edutrust,7.6,"Singapore, Singapore"
Management University of Bedok,Singapore,Public,EQUIS,8.4,"Singapore, Singapore"
Technological University of Bukit Batok,Singapore,Private,EQUIS,8.5,"Singapore, Singapore"
Management University of Tampines,Singapore,Private,CPE Approved,8.3,"Singapore, Singapore"
Singapore Institute of Punggol,Singapore,Public,AACSB,7.6,"Singapore, Singapore"
